proj_res,mcmc_res,gaus_res
"{'acc': 0.7230070635721494, 'tn': 865, 'fp': 1098, 'fn': 0, 'tp': 2001, 'prec': 0.645692158758807, 'rec': 0.9999999999950026}","{'acc': 0.6407669021190716, 'tn': 540, 'fp': 1423, 'fn': 1, 'tp': 2000, 'prec': 0.584282792870043, 'rec': 0.9995002498700675}","{'bw': 10, 'thresh': 2.52759530110346e-11, 'acc': 0.8728557013118062, 'tn': 1919, 'fp': 44, 'fn': 460, 'tp': 1541, 'prec': 0.9722397476279354, 'rec': 0.770114942524887}"
"{'acc': 0.7422524565381708, 'tn': 945, 'fp': 1023, 'fn': 0, 'tp': 2001, 'prec': 0.661706349204161, 'rec': 0.9999999999950026}","{'acc': 0.874023683547493, 'tn': 1593, 'fp': 375, 'fn': 125, 'tp': 1876, 'prec': 0.8334073744965198, 'rec': 0.9375312343781234}","{'bw': 10, 'thresh': 1.0078604510374842e-12, 'acc': 0.6749811035525322, 'tn': 1968, 'fp': 0, 'fn': 1290, 'tp': 711, 'prec': 0.9999999999859353, 'rec': 0.355322338828809}"
"{'acc': 0.7822702159718734, 'tn': 1130, 'fp': 851, 'fn': 16, 'tp': 1985, 'prec': 0.6999294781357549, 'rec': 0.992003997996042}","{'acc': 0.865143144148669, 'tn': 1549, 'fp': 432, 'fn': 105, 'tp': 1896, 'prec': 0.8144329896872232, 'rec': 0.947526236876824}","{'bw': 10, 'thresh': 2.5263315034529077e-11, 'acc': 0.7385735811150176, 'tn': 1977, 'fp': 4, 'fn': 1037, 'tp': 964, 'prec': 0.9958677685847535, 'rec': 0.48175912043737257}"
"{'acc': 0.8091756995210486, 'tn': 1246, 'fp': 720, 'fn': 37, 'tp': 1964, 'prec': 0.7317436661671693, 'rec': 0.9815092453724062}","{'acc': 0.3703050163851777, 'tn': 156, 'fp': 1810, 'fn': 688, 'tp': 1313, 'prec': 0.4204290746064027, 'rec': 0.6561719140396993}","{'bw': 10, 'thresh': 4.025813733800362e-14, 'acc': 0.562641794807159, 'tn': 1966, 'fp': 0, 'fn': 1735, 'tp': 266, 'prec': 0.999999999962406, 'rec': 0.13293353323271898}"
"{'acc': 0.7637695805962608, 'tn': 1022, 'fp': 935, 'fn': 0, 'tp': 2001, 'prec': 0.6815395095344634, 'rec': 0.9999999999950026}","{'acc': 0.774633653360283, 'tn': 1467, 'fp': 490, 'fn': 402, 'tp': 1599, 'prec': 0.7654380086128989, 'rec': 0.7991004497711189}","{'bw': 10, 'thresh': 2.52759530110346e-11, 'acc': 0.6864578069732188, 'tn': 1883, 'fp': 74, 'fn': 1167, 'tp': 834, 'prec': 0.9185022026330562, 'rec': 0.4167916041958182}"
"{'acc': 0.9690332326283988, 'tn': 1856, 'fp': 115, 'fn': 8, 'tp': 1993, 'prec': 0.9454459202991203, 'rec': 0.9960019989955223}","{'acc': 0.993202416918429, 'tn': 1971, 'fp': 0, 'fn': 27, 'tp': 1974, 'prec': 0.9999999999949342, 'rec': 0.9865067466217566}","{'bw': 10, 'thresh': 1.0081124791572735e-12, 'acc': 0.82527693856999, 'tn': 1971, 'fp': 0, 'fn': 694, 'tp': 1307, 'prec': 0.999999999992349, 'rec': 0.6531734132900892}"
"{'acc': 0.7968197879858657, 'tn': 1156, 'fp': 805, 'fn': 0, 'tp': 2001, 'prec': 0.7131147540958193, 'rec': 0.9999999999950026}","{'acc': 0.8760726905603231, 'tn': 1620, 'fp': 341, 'fn': 150, 'tp': 1851, 'prec': 0.8444343065654908, 'rec': 0.9250374812547475}","{'bw': 10, 'thresh': 1.009374512806695e-12, 'acc': 0.732205956587582, 'tn': 1961, 'fp': 0, 'fn': 1061, 'tp': 940, 'prec': 0.9999999999893617, 'rec': 0.46976511743893173}"
"{'acc': 0.8000503651473181, 'tn': 1208, 'fp': 762, 'fn': 32, 'tp': 1969, 'prec': 0.720981325519147, 'rec': 0.9840079959970814}","{'acc': 0.5812138000503652, 'tn': 391, 'fp': 1579, 'fn': 84, 'tp': 1917, 'prec': 0.5483409610968297, 'rec': 0.9580209895004597}","{'bw': 10, 'thresh': 4.027830169429611e-14, 'acc': 0.7214807353311509, 'tn': 1970, 'fp': 0, 'fn': 1106, 'tp': 895, 'prec': 0.9999999999888268, 'rec': 0.4472763618168552}"
"{'acc': 0.8999243761028485, 'tn': 1591, 'fp': 375, 'fn': 22, 'tp': 1979, 'prec': 0.8406966864875077, 'rec': 0.9890054972464318}","{'acc': 0.796823796319637, 'tn': 1558, 'fp': 408, 'fn': 398, 'tp': 1603, 'prec': 0.7971158627508846, 'rec': 0.8010994502708592}","{'bw': 10, 'thresh': 2.5282276742085652e-11, 'acc': 0.6697756491051172, 'tn': 1966, 'fp': 0, 'fn': 1310, 'tp': 691, 'prec': 0.9999999999855282, 'rec': 0.3453273363301083}"
"{'acc': 0.8186633039092055, 'tn': 1312, 'fp': 652, 'fn': 67, 'tp': 1934, 'prec': 0.7478731631834963, 'rec': 0.9665167416243553}","{'acc': 0.8786885245901639, 'tn': 1554, 'fp': 410, 'fn': 71, 'tp': 1930, 'prec': 0.8247863247828001, 'rec': 0.9645177411246152}","{'bw': 10, 'thresh': 1.008869320357844e-12, 'acc': 0.808827238335435, 'tn': 1963, 'fp': 1, 'fn': 757, 'tp': 1244, 'prec': 0.9991967871405688, 'rec': 0.621689155419182}"
